student,assignment,attempt,grade,submission time
68076,A01,1,77,40
62250,A01,8,86,131
45420,A03,1,95,114
29414,A01,3,91,19
30596,A02,1,44,-10
55690,A03,2,89,0
61237,A02,6,92,2
61454,A01,4,74,-99
92329,A03,2,99,4
30269,A01,10,98,3
35099,A03,1,86,3
26168,A02,4,98,-28
35099,A01,2,80,9
66213,A02,1,97,-42
40835,A02,2,95,27
13857,A03,2,78,-42
18208,A03,1,86,0
56739,A01,1,70,2
63335,A02,2,98,-27
34226,A01,2,79,5
56739,A01,2,79,1
94372,A02,1,36,-25
54196,A01,2,90,48
56739,A01,3,91,2
60955,A02,1,18,4
88304,A01,1,79,0
35817,A03,2,72,2
86956,A02,5,87,1
43503,A02,2,61,76
50907,A02,1,34,13
92329,A01,2,59,90
26099,A01,2,85,2
35099,A01,1,69,8
66495,A02,1,57,4
74801,A02,4,99,-97
88788,A01,5,80,61
40923,A03,1,75,3
15771,A01,6,94,-99
88304,A01,5,97,-6
31687,A03,1,83,-40
59819,A02,5,95,61
36776,A01,1,88,21
66205,A01,1,48,14
50543,A02,3,99,4
93085,A03,1,70,-41
95382,A01,2,81,-99
66144,A01,2,79,5
26263,A02,1,69,1
21476,A03,1,94,3
62250,A01,3,85,134
41502,A03,1,76,2
43586,A01,1,64,8
65937,A03,1,85,4
30122,A02,1,62,-24
83977,A02,1,71,3
19591,A02,2,96,12
59819,A01,4,87,135
19873,A02,10,100,61
86732,A02,5,92,4
26168,A02,2,97,-26
62250,A02,2,79,65
74928,A03,1,93,7
94559,A03,2,94,-20
45097,A02,4,102,2
52859,A01,3,64,5
63445,A02,1,24,15
39612,A03,1,88,6
96308,A03,1,91,0
67736,A02,2,86,-40
88788,A03,1,100,4
35099,A01,5,94,5
23172,A01,3,63,4
44853,A03,1,97,76
11873,A01,4,87,70
96443,A01,2,96,-98
96308,A02,5,91,1
51822,A02,1,60,32
86956,A01,5,75,1
69402,A01,1,81,58
90439,A01,1,57,-10
61701,A01,12,91,3
18306,A01,1,54,27
38932,A02,1,32,-37
33179,A02,5,93,3
35817,A03,1,62,4
30989,A02,3,97,4
47468,A02,2,95,6
25873,A01,4,74,4
34963,A01,4,97,-28
97979,A02,2,95,-25
44169,A03,1,56,-40
33490,A01,2,21,6
69402,A01,3,91,14
65937,A01,1,74,10
60064,A01,4,76,-98
15771,A01,5,81,-99
77180,A02,4,97,2
88788,A02,4,88,47
92329,A01,3,87,88
32348,A01,4,75,13
86956,A01,2,63,6
34963,A02,4,95,-41
43586,A01,6,79,2
14840,A01,1,80,2
31687,A01,1,74,-26
74801,A01,10,98,4
63045,A01,1,87,-38
15528,A03,1,84,-20
24386,A01,4,96,-27
94559,A01,1,73,4
31379,A02,6,100,63
79398,A03,1,72,1
43586,A02,1,16,-7
44853,A01,3,94,79
85058,A02,2,78,3
21476,A02,9,89,4
51822,A01,3,96,16
59819,A01,1,59,148
47148,A02,3,90,64
39612,A01,2,85,7
88788,A01,7,88,63
91537,A02,1,28,50
98255,A02,1,39,-39
17692,A01,2,74,-97
86956,A01,9,79,0
35716,A01,3,71,-98
96732,A03,1,102,5
34226,A02,1,44,5
15458,A01,1,80,17
34963,A02,5,99,-98
96274,A01,4,92,-97
54454,A03,1,93,2
89018,A03,1,73,35
36914,A01,1,54,71
19005,A01,2,88,31
80758,A02,3,100,-25
96110,A01,2,81,59
33490,A01,3,75,5
68113,A03,1,68,-25
55243,A01,3,67,22
96274,A02,3,63,-97
83410,A01,1,65,5
26375,A01,3,96,34
22751,A02,3,98,3
21476,A01,5,97,6
74928,A01,2,101,14
69402,A02,2,34,4
45960,A01,1,67,-22
57380,A01,1,25,6
92089,A02,1,33,-36
45960,A01,2,86,-22
65303,A01,3,94,30
19873,A01,7,84,130
80429,A02,2,93,78
26375,A01,1,69,31
57380,A03,1,58,16
70201,A01,2,92,33
66205,A02,1,29,15
63445,A02,2,72,14
68402,A01,1,87,6
86732,A01,4,88,33
25873,A02,2,88,4
47468,A03,1,72,0
94213,A01,4,78,5
69644,A01,1,44,62
44005,A02,2,97,32
91537,A01,1,46,62
19873,A01,6,95,130
55090,A03,2,75,17
31379,A03,1,81,58
87115,A02,1,74,3
60972,A01,1,72,7
65769,A01,2,74,58
69644,A01,4,84,59
91537,A02,5,98,44
65303,A02,3,102,30
38932,A01,2,76,-36
38048,A01,2,66,1
52655,A01,1,60,3
82705,A01,2,76,-10
53370,A02,1,25,15
15771,A02,1,76,3
79038,A01,1,92,4
62250,A02,6,91,61
47148,A02,2,72,63
77180,A03,2,94,-40
35099,A02,2,77,3
91537,A01,8,91,60
15771,A01,2,69,-99
88788,A01,9,93,62
19005,A02,7,94,3
92329,A02,8,91,6
95172,A01,4,77,2
60955,A01,3,64,4
50361,A03,1,81,5
54472,A01,2,101,-98
14533,A01,7,63,5
30269,A01,9,86,4
79300,A03,1,72,35
91537,A01,12,91,60
19591,A02,3,102,14
88788,A01,13,88,58
26099,A01,3,96,0
19041,A01,2,67,-28
88788,A01,14,92,60
60064,A01,6,94,-98
69644,A01,15,93,59
93907,A02,1,85,5
53834,A03,1,95,1
56194,A01,1,53,0
57380,A01,2,74,8
69644,A01,9,94,57
45748,A02,2,57,90
83832,A01,1,48,15
26263,A02,2,73,2
34963,A01,2,68,-26
61237,A01,7,78,1
96308,A01,5,76,1
91537,A01,5,78,60
63445,A01,1,58,47
93741,A03,1,88,-12
95382,A02,1,83,8
54454,A01,2,65,2
49013,A03,1,98,5
24386,A01,7,100,-99
14533,A01,4,65,5
93814,A02,1,3,79
45418,A03,1,73,1
19863,A03,1,95,3
52859,A01,5,66,5
53370,A01,1,82,55
48562,A02,1,72,2
96308,A02,3,73,1
45748,A01,1,59,89
56194,A01,2,57,-4
26263,A03,1,58,2
27545,A01,1,76,3
11409,A01,1,96,102
21476,A02,11,95,2
96443,A02,2,77,-97
19863,A02,2,86,7
88788,A01,12,95,60
55243,A03,1,70,22
26099,A01,1,73,2
54196,A01,4,100,44
69644,A01,13,88,58
17692,A03,1,80,-97
74801,A02,5,90,-99
55090,A03,1,61,19
65564,A02,1,93,99
63974,A01,1,73,118
51822,A03,2,88,3
74801,A01,5,89,3
95172,A01,5,73,3
30269,A01,6,85,5
47580,A01,1,96,-24
18526,A01,2,87,-25
25848,A01,6,75,1
45748,A01,8,63,5
44005,A01,1,83,34
99140,A02,1,85,-97
77670,A01,1,71,-21
51822,A03,1,76,5
55243,A02,1,22,34
23172,A01,2,66,3
60343,A02,2,85,31
96308,A02,2,64,3
52655,A01,3,91,3
46514,A02,1,51,3
15458,A02,1,62,40
57270,A01,3,75,-19
61701,A01,11,79,4
43586,A01,5,65,2
46514,A01,1,90,4
69749,A01,3,96,79
93907,A03,1,93,2
78160,A03,1,56,1
52655,A02,1,67,1
25873,A01,1,48,7
13819,A01,1,78,45
15528,A01,1,0,81
85058,A02,3,98,3
13819,A01,2,77,40
77180,A02,3,67,2
49013,A02,2,90,9
30989,A01,3,84,7
68076,A01,3,79,20
55090,A01,4,84,21
52859,A03,2,84,0
19005,A02,4,90,4
83185,A02,1,35,-41
95172,A01,2,64,3
38048,A01,3,72,1
12481,A02,2,75,-36
54196,A01,1,73,48
67003,A01,1,54,198
39908,A01,1,89,-37
52859,A03,1,82,3
94289,A02,2,70,2
30269,A02,6,100,-97
96308,A01,4,78,6
63445,A01,3,69,16
30596,A03,1,74,-98
10133,A01,3,81,34
59819,A02,4,92,61
33490,A02,1,51,4
38932,A01,1,77,-35
88304,A01,3,96,3
74969,A02,1,96,-24
74801,A01,13,100,4
53370,A02,4,98,3
84998,A01,5,88,72
94559,A02,1,69,2
55690,A01,2,77,2
23666,A01,1,45,100
56739,A03,2,87,0
45225,A01,1,57,5
26263,A02,3,77,2
93696,A01,4,80,89
19062,A02,3,97,2
93852,A01,2,91,7
82815,A02,2,61,5
19062,A01,3,98,5
35099,A01,3,92,8
43503,A02,5,95,5
23055,A01,3,42,-36
43503,A01,5,53,16
99140,A01,1,89,-97
52655,A01,2,67,3
47148,A02,5,85,60
86825,A03,1,58,0
96443,A01,1,91,-99
69644,A02,6,101,41
47148,A01,5,94,62
13857,A01,1,60,-38
65564,A03,1,67,98
52655,A01,4,88,3
30989,A01,5,91,3
93696,A01,7,88,87
34047,A02,1,72,6
93696,A02,6,91,92
19591,A03,2,93,5
35817,A01,1,77,63
13819,A03,1,59,22
20468,A01,2,70,2
83410,A01,2,102,-98
33179,A01,1,75,3
30269,A01,5,88,4
77946,A02,1,85,4
34963,A01,3,74,-27
33791,A01,4,71,18
91537,A03,1,97,5
63974,A02,1,51,17
19910,A01,1,88,-97
65769,A02,2,64,5
74801,A01,12,92,5
79243,A02,5,84,63
97979,A01,2,91,-25
29866,A01,1,73,49
86732,A02,10,92,2
82705,A02,2,87,-10
90439,A02,2,88,-9
51025,A02,2,85,4
60064,A03,2,77,-99
31687,A02,1,64,-26
93907,A01,3,75,2
95382,A03,1,88,-39
91537,A01,15,96,60
35099,A02,1,32,8
88741,A02,2,97,3
93696,A03,1,90,6
66144,A01,4,88,2
74801,A01,6,83,4
44853,A01,1,74,78
37119,A01,2,69,29
10406,A01,1,74,48
84900,A01,3,100,5
54454,A01,1,75,5
74801,A01,11,81,3
18208,A02,2,100,1
59819,A01,3,87,135
33791,A01,2,69,14
91537,A01,2,57,60
96110,A03,1,64,2
50745,A01,1,96,-23
89623,A01,1,77,80
88304,A02,3,99,3
96732,A01,4,72,6
69402,A03,2,93,-39
80429,A03,1,95,60
91537,A01,10,91,63
96308,A02,1,16,2
16322,A02,1,83,74
95382,A02,2,92,6
96543,A02,2,96,8
62250,A02,8,98,59
54472,A02,2,83,-98
95172,A02,3,97,2
61701,A03,2,91,1
69644,A02,3,92,45
91888,A01,3,93,5
59819,A02,3,95,63
20468,A02,1,68,3
45748,A01,3,83,91
30122,A03,1,69,-39
94559,A02,3,80,1
35716,A03,1,78,-99
45097,A02,1,85,4
74801,A01,2,69,3
62250,A03,2,89,46
59819,A02,6,94,64
19005,A02,15,96,2
44005,A03,1,82,2
59819,A02,7,99,58
62250,A02,7,96,56
45418,A01,1,59,50
79038,A03,1,69,3
77670,A02,2,95,-24
45225,A01,5,90,3
24386,A03,1,95,-42
30122,A01,1,76,-26
61701,A01,8,95,4
20468,A03,1,96,-5
68076,A03,1,63,18
46193,A01,3,89,2
68113,A01,1,70,1
15771,A01,1,71,2
66205,A02,2,94,16
13512,A02,1,53,-25
18526,A02,1,51,-24
87304,A02,1,49,-26
13512,A02,2,93,-24
24386,A01,5,87,-97
19863,A01,2,94,10
25848,A02,1,18,-8
64395,A03,1,73,21
70201,A03,1,86,3
62250,A03,1,66,64
83410,A02,2,81,-97
95172,A02,2,57,4
15771,A02,2,80,-99
95172,A03,2,81,1
60064,A02,2,81,-97
15771,A02,3,95,-97
19591,A02,1,74,14
38615,A01,1,84,115
60955,A01,5,68,5
64773,A02,1,73,4
26168,A03,1,99,-28
84900,A02,4,99,2
31687,A02,3,102,-27
59819,A01,8,86,129
26375,A02,2,79,30
61454,A01,2,67,-99
80758,A02,2,91,-26
21476,A01,1,71,37
26168,A02,3,91,-26
26168,A02,1,77,-26
91888,A01,2,78,5
69749,A03,1,95,74
78884,A02,1,55,63
13819,A01,4,84,20
19041,A01,6,97,-98
19062,A02,2,94,2
92329,A02,1,50,89
19005,A02,9,91,2
96274,A02,1,32,-98
35716,A02,2,3,-97
71843,A01,1,80,5
96274,A02,2,4,-98
83977,A01,1,89,2
17692,A02,3,63,-97
25873,A02,1,48,4
77946,A03,2,90,2
45225,A02,1,22,8
54454,A01,3,75,0
99101,A03,1,69,100
21476,A02,1,57,8
66156,A02,3,68,6
54472,A02,3,96,-99
21476,A02,2,71,4
83832,A02,1,30,15
44069,A03,1,93,-4
21476,A02,3,89,4
86732,A02,3,90,5
96732,A02,2,89,5
82815,A02,1,59,33
57270,A01,1,0,82
19005,A02,5,92,5
96110,A01,1,79,60
63335,A02,1,36,-25
20627,A02,1,79,-99
21476,A02,6,92,4
86732,A02,6,95,5
59819,A02,8,97,57
72887,A01,2,82,8
95903,A01,3,77,7
19005,A02,8,95,5
47931,A02,2,81,5
74801,A01,1,51,7
32348,A02,1,62,72
96543,A03,2,89,-39
86732,A02,9,93,4
94372,A03,1,94,-27
26099,A02,2,98,3
16284,A01,1,91,-42
61454,A03,2,79,-97
96543,A01,1,84,19
29414,A01,1,62,16
19005,A02,12,97,2
53650,A01,2,87,72
86732,A02,12,98,3
93696,A01,2,58,93
22751,A02,1,64,5
88788,A01,10,90,60
19005,A02,14,97,2
21476,A02,14,96,3
19591,A01,1,75,14
74969,A01,1,98,-23
74801,A02,1,41,3
19062,A02,1,88,4
56194,A03,1,67,-41
21476,A01,4,87,31
95903,A03,1,97,6
29414,A03,1,75,3
33490,A01,1,47,5
61701,A02,3,93,4
56194,A01,3,45,-37
45960,A02,2,97,-22
70201,A01,1,64,33
88304,A01,2,88,2
64395,A01,2,76,20
61237,A01,3,51,8
65303,A02,2,80,32
25848,A01,5,65,3
96308,A01,8,82,0
30596,A01,2,78,-10
48562,A01,1,65,2
26375,A02,3,98,32
40923,A01,5,88,4
30989,A02,2,30,6
78160,A02,1,87,46
69644,A02,2,76,45
62250,A01,6,92,133
91537,A02,2,81,46
10133,A01,4,97,35
33179,A01,3,73,1
49013,A01,2,94,8
53650,A02,3,91,51
18306,A02,2,78,5
13819,A02,2,99,42
99858,A01,1,76,-39
88788,A02,5,95,48
91537,A01,14,87,60
32348,A01,5,55,18
99101,A02,1,93,100
99140,A02,2,72,-99
33179,A03,1,64,1
19863,A02,3,90,5
79243,A03,2,93,62
97979,A02,1,68,-28
23172,A02,1,25,2
24697,A02,1,58,5
91537,A01,3,52,59
26996,A02,2,76,3
52859,A02,3,78,4
60984,A02,3,92,44
86732,A01,3,87,31
57270,A02,2,2,-19
86732,A02,15,96,4
85058,A01,7,92,5
70201,A02,3,99,29
84900,A03,2,98,2
74801,A02,2,90,2
69644,A01,3,52,64
43503,A02,4,85,4
44069,A02,4,86,-5
33179,A03,2,93,-21
26099,A01,5,101,-7
19873,A02,4,97,62
77180,A03,1,70,-38
30269,A02,5,95,-97
79243,A01,2,68,63
40835,A01,1,62,19
19062,A01,1,88,6
96274,A01,2,77,-98
21476,A02,15,99,2
19062,A03,2,95,2
26263,A01,1,75,3
69644,A01,2,58,59
16940,A03,1,46,8
11873,A01,3,80,73
96543,A01,2,86,-97
80545,A02,3,91,-26
47580,A03,1,79,-27
86732,A02,8,93,2
74801,A03,1,77,2
33179,A02,4,93,2
84900,A03,1,97,3
96543,A03,1,86,-41
93696,A02,1,50,87
35099,A03,2,90,3
37119,A01,4,99,28
19005,A03,1,92,2
79398,A03,2,82,1
52655,A02,2,47,2
65303,A02,1,34,29
69644,A01,5,78,58
83410,A03,1,80,-37
60064,A01,2,69,-98
12472,A02,1,61,5
26375,A01,4,101,32
15528,A01,2,2,-19
72887,A02,3,97,2
71843,A01,3,102,6
65769,A01,1,59,200
92089,A02,2,77,-36
19873,A01,4,84,133
31570,A03,1,98,61
19591,A01,3,77,8
96155,A01,4,90,-6
45418,A01,4,67,18
17497,A01,6,78,1
61701,A02,2,90,2
62250,A01,7,86,134
85058,A01,5,91,6
93696,A01,6,75,92
20627,A03,1,100,-98
15541,A03,1,99,-99
45225,A01,3,86,8
19005,A02,11,95,4
15541,A01,1,83,-98
89232,A03,1,57,2
89018,A01,1,75,36
18208,A03,2,89,2
90439,A01,2,78,-10
96155,A03,1,101,0
68076,A01,4,83,21
94213,A02,2,82,4
88741,A01,2,80,3
35443,A01,3,85,-42
35817,A02,2,93,63
31787,A01,1,83,1
96274,A01,3,71,-97
93696,A02,8,93,6
88677,A02,1,74,2
67003,A03,1,80,4
12472,A01,1,66,6
86956,A02,4,89,2
61237,A02,2,60,1
13512,A03,1,95,-25
79243,A02,4,93,65
44069,A01,4,91,3
92329,A01,6,74,91
61454,A03,1,72,1
30269,A03,1,74,1
15771,A03,2,82,-98
35817,A02,1,55,63
30269,A02,3,97,4
94559,A01,2,99,2
47148,A01,4,71,60
95172,A03,1,84,1
68076,A02,1,24,45
78476,A01,3,84,6
31379,A01,7,80,58
13857,A01,2,76,-37
86732,A01,5,100,7
80545,A01,1,98,-26
60064,A02,3,91,-97
25873,A01,5,82,6
68076,A01,2,79,40
86956,A02,2,64,1
62250,A01,1,58,143
86732,A03,1,89,2
47148,A01,3,78,62
36914,A01,3,63,17
86732,A03,2,94,1
61701,A01,7,95,3
43586,A01,2,58,5
61454,A01,5,82,-98
65303,A03,1,86,4
96155,A01,3,94,1
26375,A03,1,85,3
96665,A02,1,37,-27
82705,A02,1,43,-11
60307,A02,1,61,-25
55690,A02,1,46,3
95172,A01,3,65,3
57982,A02,1,85,-99
93852,A02,3,94,4
14533,A03,1,84,2
18402,A03,1,91,4
60955,A03,2,82,3
79038,A02,1,75,1
31251,A02,1,2,3
19005,A02,1,59,7
63445,A01,4,70,16
24386,A01,2,67,-26
46514,A03,1,87,-10
29397,A01,1,81,36
61701,A03,1,74,2
93085,A02,1,63,-26
96732,A02,1,52,6
40923,A03,2,86,3
94213,A02,3,97,3
19062,A03,1,98,2
93696,A01,5,86,92
94559,A01,3,71,1
31379,A01,1,71,63
17836,A02,2,98,117
67736,A01,3,45,-37
62702,A01,1,67,7
36776,A02,2,95,6
85058,A01,1,67,8
69644,A01,11,98,60
45418,A02,2,73,17
20468,A01,1,62,3
22751,A03,2,62,7
50907,A01,1,51,15
19041,A02,4,96,-40
30269,A01,11,78,4
44069,A01,2,71,4
61237,A01,5,74,2
61701,A01,2,67,3
19005,A02,13,95,2
65937,A03,2,97,6
33954,A02,1,61,44
91888,A02,2,94,6
38932,A02,2,77,-36
60955,A01,4,64,3
32092,A02,3,81,4
45420,A02,2,99,113
90439,A03,1,71,-98
45097,A02,3,99,5
30269,A01,12,89,4
19873,A01,1,59,145
50543,A02,2,99,5
87304,A02,2,91,-24
38048,A03,1,89,2
28118,A01,1,95,-26
61237,A01,6,67,2
60955,A02,2,86,3
88677,A03,1,72,1
49013,A01,1,77,9
82252,A02,2,94,7
68402,A02,1,72,5
34963,A01,1,65,-23
78476,A01,1,72,10
82815,A02,3,91,4
86732,A02,11,93,5
19873,A02,8,95,59
88788,A02,3,88,47
96443,A02,1,84,-99
34285,A01,1,75,-39
33179,A02,1,70,1
84998,A03,1,87,37
14533,A01,2,62,6
47931,A02,1,37,5
69402,A02,1,28,13
88304,A02,2,97,1
14107,A03,1,81,3
91537,A01,7,84,62
11873,A02,3,90,52
93907,A01,1,70,2
84998,A02,3,91,47
38615,A02,1,25,118
51025,A01,2,72,7
95903,A02,1,77,12
62250,A02,9,98,57
84998,A01,2,89,71
85058,A01,8,100,3
93696,A02,3,78,90
84998,A01,3,83,76
30269,A03,2,91,1
23666,A02,1,2,2
14533,A02,1,17,4
55090,A02,2,93,44
53650,A01,5,88,73
31570,A01,2,83,77
93852,A03,1,97,3
44005,A02,1,48,31
94213,A01,3,81,6
95172,A01,1,76,5
89623,A01,2,93,76
23172,A01,1,75,5
82705,A03,1,70,-98
27545,A01,2,69,4
18306,A02,1,74,5
79398,A01,2,71,4
40835,A01,2,66,18
86274,A02,2,94,3
66205,A03,2,61,1
78884,A02,2,92,59
27545,A03,1,84,0
45285,A03,1,83,-37
27545,A01,5,73,4
54196,A02,1,75,43
96665,A02,2,99,-26
21476,A02,4,94,3
91537,A01,17,97,58
13857,A02,1,91,-27
17692,A01,3,68,-97
86077,A01,1,70,1
33791,A01,1,54,48
74928,A01,3,82,9
13857,A01,3,86,-41
17851,A03,1,81,-36
23666,A01,2,83,4
31251,A02,2,95,3
32092,A01,1,74,3
85058,A02,1,30,9
24697,A01,1,73,5
19873,A01,8,84,130
66156,A02,1,44,9
88304,A03,1,98,2
19041,A01,7,102,-99
74801,A01,4,79,3
68402,A03,1,80,1
24386,A02,4,96,-40
26263,A01,3,71,0
57982,A02,2,74,-97
92329,A02,3,81,90
86956,A01,6,72,0
96665,A03,1,93,-27
29397,A03,2,99,4
66495,A03,1,81,2
86956,A01,7,79,0
50671,A03,1,75,1
50543,A01,2,82,6
53650,A01,4,87,73
53650,A02,2,65,49
86825,A02,1,88,44
33791,A02,2,72,13
34226,A01,4,85,3
77946,A01,3,88,3
74801,A01,9,85,3
83216,A01,1,65,7
55351,A01,1,84,-36
88677,A01,1,67,1
86732,A01,1,75,31
79398,A01,1,72,5
88788,A01,3,50,62
47468,A01,2,74,5
47148,A02,6,98,64
60972,A01,2,76,5
91888,A03,2,88,6
92329,A01,1,60,90
39612,A01,1,77,7
45748,A01,2,62,91
38261,A03,1,72,-41
50361,A02,1,63,5
94213,A03,1,69,5
63045,A03,1,84,-40
14533,A01,3,66,5
60972,A03,1,75,1
88788,A01,17,102,56
83410,A02,1,62,-40
18306,A01,2,69,28
78575,A03,1,75,19
30989,A01,4,96,4
52655,A03,1,95,-5
19005,A01,1,74,34
78884,A01,1,78,64
63445,A01,2,69,16
92329,A01,7,88,88
43503,A01,1,51,76
35443,A03,1,71,-39
92329,A01,8,61,6
93696,A01,8,63,5
54196,A01,3,84,48
88788,A02,6,101,47
86956,A02,1,14,3
56194,A02,1,52,-40
57982,A01,2,96,-99
26996,A03,1,97,2
56739,A02,1,47,2
84900,A02,3,100,3
42798,A01,1,73,3
19873,A03,1,70,65
53370,A02,2,35,3
92089,A01,1,79,-36
61701,A01,10,98,5
86274,A01,1,92,2
64773,A01,1,78,2
83204,A01,1,85,7
29397,A02,2,96,30
11873,A02,2,65,48
83204,A01,2,78,4
53834,A02,2,98,4
62250,A02,3,93,65
44853,A02,1,86,77
23055,A02,2,84,-39
65937,A02,5,96,5
27545,A02,1,23,3
19873,A02,7,95,60
21476,A02,10,97,3
93814,A01,2,0,-18
57270,A01,2,1,-18
67736,A01,1,54,0
93814,A01,3,76,-18
45748,A01,5,83,89
61701,A02,6,101,-99
10133,A02,1,50,32
59819,A03,1,68,64
82815,A03,1,79,4
39908,A02,3,68,-38
20216,A01,4,97,47
61237,A02,4,85,2
34963,A01,6,93,-97
36914,A02,1,58,73
47148,A02,1,61,65
31570,A01,1,90,76
80429,A01,1,90,76
96443,A02,3,94,-97
79243,A01,4,70,60
80429,A01,2,83,78
36914,A02,5,95,4
69749,A02,1,85,79
53650,A01,6,83,-99
44005,A01,3,82,34
44005,A01,2,78,33
30269,A01,7,91,3
93852,A02,2,90,7
39908,A03,1,82,-39
17497,A02,1,16,-7
61701,A01,9,88,2
26996,A02,3,95,5
19041,A02,3,91,-26
26996,A01,1,56,27
44005,A01,5,83,6
86956,A03,2,86,-8
93696,A01,9,92,6
33954,A02,2,83,31
18402,A02,2,92,4
56739,A03,1,83,0
36776,A03,1,88,-40
94213,A02,1,64,4
71843,A01,2,85,6
10884,A02,2,85,4
88788,A02,2,79,48
78575,A01,2,79,21
38261,A03,2,82,-40
45285,A02,1,99,-41
44069,A02,1,69,2
28118,A02,3,96,-26
77747,A01,1,54,6
37119,A01,3,88,27
88741,A01,1,83,6
52655,A02,3,74,-5
18306,A01,3,87,28
31379,A02,4,94,60
22751,A01,6,83,4
34226,A02,3,98,3
88788,A01,11,94,58
47580,A02,1,95,-25
21476,A03,2,90,2
10884,A01,2,82,8
94289,A02,1,64,0
92329,A01,9,91,5
17692,A02,1,37,-97
34963,A02,1,60,-26
83832,A03,2,57,3
34047,A01,1,88,6
60307,A01,1,74,-24
66144,A01,3,75,6
43025,A01,1,65,2
66144,A02,3,100,4
79243,A02,1,60,65
16322,A02,2,93,74
61454,A02,1,76,1
51025,A02,1,34,6
11873,A03,1,92,35
74928,A03,2,96,7
65769,A03,1,82,5
49013,A02,1,85,9
38261,A01,3,87,-40
28118,A02,2,96,-28
79243,A02,6,99,62
26099,A01,4,91,-7
69402,A03,1,69,-38
60984,A02,2,72,44
16322,A01,1,90,76
19873,A02,1,71,64
72887,A03,2,86,4
66205,A01,2,39,15
86274,A03,1,89,-10
46193,A02,1,83,1
24386,A02,2,94,-26
24697,A01,2,84,5
69402,A02,3,61,3
60343,A01,1,82,14
55090,A01,2,78,45
62702,A02,2,81,-99
16940,A01,2,75,2
61237,A02,1,15,4
11873,A02,1,64,53
53650,A02,1,61,51
66495,A01,3,80,4
22751,A01,3,83,8
12481,A01,1,79,-35
10133,A01,1,85,35
26099,A02,1,65,3
23666,A03,1,50,1
19005,A02,2,70,6
62250,A01,5,85,134
36914,A02,3,85,70
69644,A02,1,31,48
93741,A01,1,90,3
88741,A03,1,96,3
52655,A02,4,83,-5
40835,A02,1,61,29
78476,A02,5,96,6
93814,A02,3,73,-18
55143,A02,1,3,3
95172,A02,1,22,4
21476,A01,3,85,31
18208,A01,2,80,4
23666,A02,2,94,3
78884,A01,2,81,62
32092,A02,1,53,3
25848,A01,1,64,7
33954,A01,1,78,19
32348,A01,2,62,19
20216,A01,1,73,45
79398,A02,1,41,30
12472,A03,1,81,5
82252,A03,2,92,4
24697,A02,3,76,3
36914,A03,1,80,4
43503,A01,3,62,16
64395,A01,3,70,19
78575,A02,2,86,31
80545,A02,1,82,-26
50543,A03,1,76,2
59819,A01,5,81,132
65937,A01,2,78,7
77747,A01,2,69,5
33791,A01,3,70,15
30269,A01,8,92,4
60064,A01,3,87,-99
13857,A03,1,72,-41
65303,A01,1,63,31
30269,A01,1,51,7
13512,A01,2,91,-24
50543,A02,1,46,4
92329,A03,1,88,4
46193,A01,2,82,3
32092,A03,1,85,3
66144,A02,2,101,4
18208,A01,3,92,4
27545,A02,2,57,4
20468,A02,4,85,-4
69644,A02,5,93,48
55351,A02,1,60,-37
39908,A02,1,61,-38
63045,A02,2,73,-38
26996,A01,2,69,26
55690,A01,3,91,4
22751,A01,8,100,3
55351,A02,3,68,-37
